"Speed","Radius_big","Radius_small","Length","Pressure_1","Pressure_2","Viscosity","Kf_a","Kf_b","Kf_c","","","",""
"5.8","2.8","1.5","757.6","49.7","34.5","0.005","-1.1","0","8.3","","","",""
"13.9","4.0","1.1","507.9","100.1","81.4","0.010","-0.9","0","15.0","","","",""
"93.5","4.4","2.9","513.5","108.7","18.4","0.005","-8.5","0","165.0","","","",""
"3.5","1.4","0.8","929.2","102.1","32.9","0.007","-2.8","0","5.3","","","",""
"10.9","4.8","4.0","859.2","90.1","56.0","0.006","-1.6","0","36.0","","","",""
"0.0","0.1","0.0","771.5","46.8","29.1","0.005","-1.1","0","0.0","","","",""
"156.4","2.3","1.1","809.3","169.2","93.5","0.001","-35.9","0","198.1","","","",""
"7.0","2.2","0.1","744.8","30.1","9.1","0.005","-1.4","0","7.0","","","",""
"33.3","1.3","0.7","206.3","132.7","27.8","0.005","-25.2","0","45.1","","","",""
"6.1","3.8","3.0","770.2","51.9","41.6","0.003","-1.1","0","16.0","","","",""
"0.0","0.2","0.2","916.5","51.2","51.0","0.009","-0.0","0","0.0","","","",""
"0.0","0.0","0.0","702.1","23.5","5.1","0.008","-0.8","0","0.0","","","",""
"16.4","2.5","0.2","581.5","171.6","140.7","0.005","-2.7","0","16.5","","","",""
"121.4","2.3","2.0","322.5","103.6","42.8","0.000","-101.7","0","548.5","","","",""
"20.9","4.5","0.9","520.4","171.0","159.6","0.005","-1.1","0","21.8","","","",""
"462.2","3.9","1.2","564.6","197.9","70.9","0.002","-34.1","0","515.2","","","",""
"0.0","1.0","0.9","232.8","62.2","59.1","0.007","-0.5","0","0.5","","","",""
"7.2","1.4","0.2","996.6","79.2","26.6","0.004","-3.7","0","7.3","","","",""
"120.3","1.4","0.5","480.2","21.3","6.0","0.000","-69.8","0","137.1","","","",""
"0.2","0.7","0.7","269.6","54.5","9.3","0.002","-18.6","0","9.6","","","",""
"0.1","0.7","0.6","776.9","94.8","61.0","0.008","-1.4","0","0.6","","","",""
"0.7","1.8","0.8","847.3","8.0","6.3","0.002","-0.3","0","0.9","","","",""
"18.4","3.5","2.0","544.8","38.0","5.6","0.007","-2.2","0","27.5","","","",""
"14.3","3.5","2.9","597.3","117.2","45.7","0.009","-3.4","0","42.3","","","",""
"0.0","2.6","1.5","666.8","23.7","23.5","0.008","-0.0","0","0.1","","","",""
"1564.9","3.3","1.4","85.9","113.5","9.1","0.002","-179.0","0","1908.4","","","",""
"31.6","3.2","1.6","461.6","60.0","42.7","0.002","-4.0","0","41.4","","","",""
"6.4","0.9","0.5","322.7","189.4","154.7","0.002","-11.2","0","8.7","","","",""
"5.6","2.4","2.1","539.0","135.8","51.7","0.010","-4.0","0","23.2","","","",""
"60511.1","2.4","0.1","19.5","139.7","32.0","0.000","-10590.8","0","60570.2","","","",""
"1.0","0.7","0.3","744.4","76.6","5.9","0.009","-2.5","0","1.3","","","",""
"2.0","0.2","0.0","363.4","39.0","3.9","0.001","-44.7","0","2.0","","","",""
"220.5","2.1","0.3","103.3","171.8","102.1","0.003","-51.6","0","224.8","","","",""
"0.4","1.0","0.3","861.4","9.0","6.9","0.001","-0.4","0","0.4","","","",""
"3.1","3.1","0.9","894.8","175.5","167.7","0.006","-0.4","0","3.4","","","",""
"287.7","1.5","0.6","188.0","111.0","8.5","0.001","-146.4","0","341.6","","","",""
"28.5","2.7","0.5","230.8","145.5","114.7","0.008","-4.1","0","29.6","","","",""
"36.6","4.0","0.7","288.4","66.0","61.1","0.002","-2.4","0","37.9","","","",""
"0.3","4.9","4.6","667.9","54.1","51.8","0.010","-0.1","0","2.2","","","",""
"2170.3","4.2","0.8","97.5","183.1","146.0","0.001","-125.2","0","2241.5","","","",""
"5.9","1.3","0.2","989.1","167.9","20.7","0.010","-3.7","0","6.1","","","",""
"21.3","2.8","2.5","675.5","49.1","2.8","0.001","-16.4","0","124.4","","","",""
"12.1","4.9","4.3","459.1","29.7","21.6","0.002","-2.4","0","55.8","","","",""
"1.4","1.1","0.4","306.7","71.3","56.8","0.010","-1.2","0","1.6","","","",""
"2.7","4.0","2.5","779.9","45.1","38.8","0.007","-0.3","0","4.6","","","",""
"52.8","1.9","0.9","637.2","156.2","25.5","0.003","-18.9","0","66.7","","","",""
"9.0","3.0","2.9","331.7","136.6","68.5","0.003","-17.6","0","159.6","","","",""
"37.4","2.2","0.9","640.0","35.0","15.0","0.007","-9.3","0","44.9","","","",""
"44.5","2.2","0.2","803.2","35.0","15.0","0.007","-9.3","0","44.9","","","",""
"29.2","2.2","1.3","334.3","35.0","15.0","0.007","-9.3","0","44.9","","","",""
